word,meaning,level,example_sentence,example_translation
different,다른,basic,We need a different plan for the project.,우리는 프로젝트를 위해 '다른' 계획이 필요합니다.
same,같은,basic,The manager said the new procedure was same.,관리자는 새 절차가 '같은' 상태라고 말했습니다.
good,좋은,basic,The office is good for all employees.,그 사무실은 모든 직원에게 '좋은' 상태입니다.
bad,나쁜,basic,The customer found the service bad.,고객은 그 서비스가 '나쁜'다고 느꼈습니다.
better,더 나은,basic,The report contains a better explanation.,그 보고서에는 '더 나은' 설명이 포함되어 있습니다.
best,최고의,basic,We need a best plan for the project.,우리는 프로젝트를 위해 '최고의' 계획이 필요합니다.
useful,유용한,basic,The manager said the new procedure was useful.,관리자는 새 절차가 '유용한' 상태라고 말했습니다.
helpful,도움이 되는,basic,The office is helpful for all employees.,그 사무실은 모든 직원에게 '도움이 되는' 상태입니다.
friendly,친절한,basic,The customer found the service friendly.,고객은 그 서비스가 '친절한'다고 느꼈습니다.
kind,친절한,basic,The report contains a kind explanation.,그 보고서에는 '친절한' 설명이 포함되어 있습니다.
happy,행복한,basic,We need a happy plan for the project.,우리는 프로젝트를 위해 '행복한' 계획이 필요합니다.
pleased,"기쁜, 만족한",basic,The manager said the new procedure was pleased.,"관리자는 새 절차가 '기쁜, 만족한' 상태라고 말했습니다."
sorry,"미안한, 유감인",basic,The office is sorry for all employees.,"그 사무실은 모든 직원에게 '미안한, 유감인' 상태입니다."
interested,관심 있는,basic,The customer found the service interested.,고객은 그 서비스가 '관심 있는'다고 느꼈습니다.
successful,성공적인,basic,The report contains a successful explanation.,그 보고서에는 '성공적인' 설명이 포함되어 있습니다.
correct,정확한,basic,We need a correct plan for the project.,우리는 프로젝트를 위해 '정확한' 계획이 필요합니다.
wrong,틀린,basic,The manager said the new procedure was wrong.,관리자는 새 절차가 '틀린' 상태라고 말했습니다.
final,최종의,basic,The office is final for all employees.,그 사무실은 모든 직원에게 '최종의' 상태입니다.
local,지역의,basic,The customer found the service local.,고객은 그 서비스가 '지역의'다고 느꼈습니다.
international,국제적인,basic,The report contains a international explanation.,그 보고서에는 '국제적인' 설명이 포함되어 있습니다.
public,공공의,basic,We need a public plan for the project.,우리는 프로젝트를 위해 '공공의' 계획이 필요합니다.
private,"사적인, 민간의",basic,The manager said the new procedure was private.,"관리자는 새 절차가 '사적인, 민간의' 상태라고 말했습니다."
personal,개인의,basic,The office is personal for all employees.,그 사무실은 모든 직원에게 '개인의' 상태입니다.
general,일반적인,basic,The customer found the service general.,고객은 그 서비스가 '일반적인'다고 느꼈습니다.
current,현재의,basic,The report contains a current explanation.,그 보고서에는 '현재의' 설명이 포함되어 있습니다.
recent,최근의,basic,We need a recent plan for the project.,우리는 프로젝트를 위해 '최근의' 계획이 필요합니다.
daily,매일의,basic,The manager said the new procedure was daily.,관리자는 새 절차가 '매일의' 상태라고 말했습니다.
weekly,매주의,basic,The office is weekly for all employees.,그 사무실은 모든 직원에게 '매주의' 상태입니다.
monthly,매월의,basic,The customer found the service monthly.,고객은 그 서비스가 '매월의'다고 느꼈습니다.
annual,연례의,basic,The report contains a annual explanation.,그 보고서에는 '연례의' 설명이 포함되어 있습니다.
additional,추가의,basic,We need a additional plan for the project.,우리는 프로젝트를 위해 '추가의' 계획이 필요합니다.
basic,기본적인,basic,The manager said the new procedure was basic.,관리자는 새 절차가 '기본적인' 상태라고 말했습니다.
common,"흔한, 공통의",basic,The office is common for all employees.,"그 사무실은 모든 직원에게 '흔한, 공통의' 상태입니다."
regular,정기적인,basic,The customer found the service regular.,고객은 그 서비스가 '정기적인'다고 느꼈습니다.
normal,정상적인,basic,The report contains a normal explanation.,그 보고서에는 '정상적인' 설명이 포함되어 있습니다.
clear,명확한,basic,We need a clear plan for the project.,우리는 프로젝트를 위해 '명확한' 계획이 필요합니다.
quiet,조용한,basic,The manager said the new procedure was quiet.,관리자는 새 절차가 '조용한' 상태라고 말했습니다.
comfortable,편안한,basic,The office is comfortable for all employees.,그 사무실은 모든 직원에게 '편안한' 상태입니다.
convenient,편리한,basic,The customer found the service convenient.,고객은 그 서비스가 '편리한'다고 느꼈습니다.
near,가까운,basic,The report contains a near explanation.,그 보고서에는 '가까운' 설명이 포함되어 있습니다.
far,먼,basic,We need a far plan for the project.,우리는 프로젝트를 위해 '먼' 계획이 필요합니다.
quick,빠른,basic,The manager said the new procedure was quick.,관리자는 새 절차가 '빠른' 상태라고 말했습니다.
fresh,신선한,basic,The office is fresh for all employees.,그 사무실은 모든 직원에게 '신선한' 상태입니다.
warm,따뜻한,basic,The customer found the service warm.,고객은 그 서비스가 '따뜻한'다고 느꼈습니다.
cold,"추운, 차가운",basic,The report contains a cold explanation.,"그 보고서에는 '추운, 차가운' 설명이 포함되어 있습니다."
hot,"뜨거운, 더운",basic,We need a hot plan for the project.,"우리는 프로젝트를 위해 '뜨거운, 더운' 계획이 필요합니다."
dry,건조한,basic,The manager said the new procedure was dry.,관리자는 새 절차가 '건조한' 상태라고 말했습니다.
wet,젖은,basic,The office is wet for all employees.,그 사무실은 모든 직원에게 '젖은' 상태입니다.
strong,강한,basic,The customer found the service strong.,고객은 그 서비스가 '강한'다고 느꼈습니다.
weak,약한,basic,The report contains a weak explanation.,그 보고서에는 '약한' 설명이 포함되어 있습니다.
heavy,무거운,basic,We need a heavy plan for the project.,우리는 프로젝트를 위해 '무거운' 계획이 필요합니다.
light,가벼운,basic,The manager said the new procedure was light.,관리자는 새 절차가 '가벼운' 상태라고 말했습니다.
modern,현대적인,basic,The office is modern for all employees.,그 사무실은 모든 직원에게 '현대적인' 상태입니다.
traditional,전통적인,basic,The customer found the service traditional.,고객은 그 서비스가 '전통적인'다고 느꼈습니다.
professional,전문적인,basic,The report contains a professional explanation.,그 보고서에는 '전문적인' 설명이 포함되어 있습니다.
excellent,훌륭한,basic,We need a excellent plan for the project.,우리는 프로젝트를 위해 '훌륭한' 계획이 필요합니다.
effective,효과적인,basic,The manager said the new procedure was effective.,관리자는 새 절차가 '효과적인' 상태라고 말했습니다.
efficient,효율적인,basic,The office is efficient for all employees.,그 사무실은 모든 직원에게 '효율적인' 상태입니다.
accurate,정확한,basic,The customer found the service accurate.,고객은 그 서비스가 '정확한'다고 느꼈습니다.
certain,확실한,basic,The report contains a certain explanation.,그 보고서에는 '확실한' 설명이 포함되어 있습니다.
likely,가능성이 높은,basic,We need a likely plan for the project.,우리는 프로젝트를 위해 '가능성이 높은' 계획이 필요합니다.
responsible,책임이 있는,basic,The manager said the new procedure was responsible.,관리자는 새 절차가 '책임이 있는' 상태라고 말했습니다.
familiar,익숙한,basic,The office is familiar for all employees.,그 사무실은 모든 직원에게 '익숙한' 상태입니다.
similar,비슷한,basic,The customer found the service similar.,고객은 그 서비스가 '비슷한'다고 느꼈습니다.
various,다양한,basic,The report contains a various explanation.,그 보고서에는 '다양한' 설명이 포함되어 있습니다.
main,주요한,basic,We need a main plan for the project.,우리는 프로젝트를 위해 '주요한' 계획이 필요합니다.
major,주요한,basic,The manager said the new procedure was major.,관리자는 새 절차가 '주요한' 상태라고 말했습니다.
minor,"사소한, 작은",basic,The office is minor for all employees.,"그 사무실은 모든 직원에게 '사소한, 작은' 상태입니다."
whole,전체의,basic,The customer found the service whole.,고객은 그 서비스가 '전체의'다고 느꼈습니다.
enough,충분한,basic,The report contains a enough explanation.,그 보고서에는 '충분한' 설명이 포함되어 있습니다.
almost,거의,basic,The information was almost updated.,정보가 '거의' 업데이트되었습니다.
already,이미,basic,The staff completed the task already.,직원들은 업무를 '이미' 처리했습니다.
always,항상,basic,Please respond to the email always.,이메일에 '항상' 답변해 주세요.
usually,보통,basic,The manager usually checks the weekly report.,관리자는 주간 보고서를 '보통' 확인합니다.
often,자주,basic,The team worked often to finish the project.,팀은 프로젝트를 끝내기 위해 '자주' 일했습니다.
sometimes,때때로,basic,The information was sometimes updated.,정보가 '때때로' 업데이트되었습니다.
never,결코 ~않다,basic,The staff completed the task never.,직원들은 업무를 '결코 ~않다' 처리했습니다.
again,다시,basic,Please respond to the email again.,이메일에 '다시' 답변해 주세요.
soon,곧,basic,The manager soon checks the weekly report.,관리자는 주간 보고서를 '곧' 확인합니다.
today,오늘,basic,The team worked today to finish the project.,팀은 프로젝트를 끝내기 위해 '오늘' 일했습니다.
tomorrow,내일,basic,The information was tomorrow updated.,정보가 '내일' 업데이트되었습니다.
yesterday,어제,basic,The staff completed the task yesterday.,직원들은 업무를 '어제' 처리했습니다.
here,여기에,basic,Please respond to the email here.,이메일에 '여기에' 답변해 주세요.
there,거기에,basic,The manager there checks the weekly report.,관리자는 주간 보고서를 '거기에' 확인합니다.
together,함께,basic,The team worked together to finish the project.,팀은 프로젝트를 끝내기 위해 '함께' 일했습니다.
carefully,주의 깊게,basic,The information was carefully updated.,정보가 '주의 깊게' 업데이트되었습니다.
quickly,빠르게,basic,The staff completed the task quickly.,직원들은 업무를 '빠르게' 처리했습니다.
slowly,천천히,basic,Please respond to the email slowly.,이메일에 '천천히' 답변해 주세요.
easily,쉽게,basic,The manager easily checks the weekly report.,관리자는 주간 보고서를 '쉽게' 확인합니다.
clearly,명확하게,basic,The team worked clearly to finish the project.,팀은 프로젝트를 끝내기 위해 '명확하게' 일했습니다.
directly,직접,basic,The information was directly updated.,정보가 '직접' 업데이트되었습니다.
finally,마침내,basic,The staff completed the task finally.,직원들은 업무를 '마침내' 처리했습니다.
currently,현재,basic,Please respond to the email currently.,이메일에 '현재' 답변해 주세요.
recently,최근에,basic,The manager recently checks the weekly report.,관리자는 주간 보고서를 '최근에' 확인합니다.
probably,아마도,basic,The team worked probably to finish the project.,팀은 프로젝트를 끝내기 위해 '아마도' 일했습니다.
especially,특히,basic,The information was especially updated.,정보가 '특히' 업데이트되었습니다.
really,정말로,basic,The staff completed the task really.,직원들은 업무를 '정말로' 처리했습니다.
also,또한,basic,Please respond to the email also.,이메일에 '또한' 답변해 주세요.
only,"오직, 단지",basic,The manager only checks the weekly report.,"관리자는 주간 보고서를 '오직, 단지' 확인합니다."
even,심지어,basic,The team worked even to finish the project.,팀은 프로젝트를 끝내기 위해 '심지어' 일했습니다.
very,매우,basic,The information was very updated.,정보가 '매우' 업데이트되었습니다.
quite,꽤,basic,The staff completed the task quite.,직원들은 업무를 '꽤' 처리했습니다.
well,잘,basic,Please respond to the email well.,이메일에 '잘' 답변해 주세요.
facility,시설,basic,The facility was mentioned in the company announcement.,회사 공지에서 '시설' 관련 내용이 언급되었습니다.
counter,"창구, 계산대",basic,We discussed the counter during the morning meeting.,"우리는 오전 회의에서 '창구, 계산대' 관련 내용을 논의했습니다."
form,"양식, 서식",basic,The staff prepared the form for today's schedule.,"직원들은 오늘 일정에 맞춰 '양식, 서식' 관련 내용을 준비했습니다."
copy,사본,basic,The manager reviewed the copy before the meeting.,관리자는 회의 전에 '사본' 관련 내용을 검토했습니다.
signature,서명,basic,Please check the signature before you leave the office.,사무실을 떠나기 전에 '서명' 관련 내용을 확인해 주세요.
entrance fee,입장료,basic,The entrance fee was mentioned in the company announcement.,회사 공지에서 '입장료' 관련 내용이 언급되었습니다.
map,지도,basic,We discussed the map during the morning meeting.,우리는 오전 회의에서 '지도' 관련 내용을 논의했습니다.
guide,"안내서, 안내원",basic,The staff prepared the guide for today's schedule.,"직원들은 오늘 일정에 맞춰 '안내서, 안내원' 관련 내용을 준비했습니다."
uniform,"제복, 유니폼",basic,The manager reviewed the uniform before the meeting.,"관리자는 회의 전에 '제복, 유니폼' 관련 내용을 검토했습니다."
rent,"임대하다, 빌리다",basic,Employees should rent as soon as possible.,"직원들은 가능한 한 빨리 '임대하다, 빌리다' 해야 합니다."
print,인쇄하다,basic,The manager asked us to print today.,관리자는 우리에게 오늘 '인쇄하다' 하라고 요청했습니다.
upload,업로드하다,basic,We need to upload before the deadline.,우리는 마감일 전에 '업로드하다' 해야 합니다.
download,다운로드하다,basic,Staff members can download when necessary.,직원들은 필요할 때 '다운로드하다' 할 수 있습니다.
exchange,교환하다,basic,Please exchange before the scheduled meeting.,예정된 회의 전에 '교환하다' 해 주세요.
collect,수집하다,basic,Employees should collect as soon as possible.,직원들은 가능한 한 빨리 '수집하다' 해야 합니다.
crowded,붐비는,basic,The customer found the service crowded.,고객은 그 서비스가 '붐비는'다고 느꼈습니다.
proper,적절한,basic,The report contains a proper explanation.,그 보고서에는 '적절한' 설명이 포함되어 있습니다.
temporary,임시의,basic,We need a temporary plan for the project.,우리는 프로젝트를 위해 '임시의' 계획이 필요합니다.
